NUMERO_ED;École doctorale;Sigle de l'ED;NUMERO_DS;DOMAINE_SCIENTIFIQUE;ANNEE;ANNEE_UNIVERSITAIRE;RENTREE;ANNEE_SOUTENANCE;PREMIERS_INSCRITS;PREMIERS_INSCRITS_F;PREMIERS_INSCRITS_H;TOTAL_INSCRITS;TOTAL_INSCRITS_F;TOTAL_INSCRITS_H;NOMBRE_SOUTENANCES;NOMBRE_SOUTENANCES_F;NOMBRE_SOUTENANCES_H;MOINS_DE_40_MOIS;DE_40_A_52_MOIS;DE_52_A_72_MOIS;PLUS_DE_6_ANS;id_paysage_ED
34;École doctorale Matériaux;;2;Physique;2023;2022-23;2022;2022;9;3;6;39;16;23;16;6;10;8;7;1;0;1Iufh
40;École doctorale Sciences chimiques;EDSC;5;Biologie, médecine et santé;2023;2022-23;2022;2022;0;0;0;6;5;1;3;3;0;1;2;0;0;wde3D
47;École doctorale Physique;;5;Biologie, médecine et santé;2023;2022-23;2022;2022;1;0;1;1;0;1;0;0;0;0;0;0;0;8kNpd
62;École doctorale Sciences de la vie et de la santé;;7;Sciences de la société;2023;2022-23;2022;2022;1;1;0;2;2;0;0;0;0;0;0;0;0;vZzE7
71;École doctorale Sciences pour l'ingénieur;;4;Chimie;2023;2022-23;2022;2022;2;2;0;7;4;3;1;0;1;0;1;0;0;H6UYp
73;École doctorale Sciences économiques, sociales, de l'aménagement et du management;SESAM;7;Sciences de la société;2023;2022-23;2022;2022;29;14;15;151;68;83;22;10;12;4;3;8;7;IQ0Hk
74;École doctorale Sciences juridiques, politique et de gestion;SJPG;7;Sciences de la société;2023;2022-23;2022;2022;45;17;28;255;127;128;24;15;9;0;3;7;14;3A2RY
77;École doctorale Informatique, automatique, électronique, électrotechnique, mathématiques;IAEM;1;Mathématiques et leurs interactions;2023;2022-23;2022;2022;8;0;8;37;6;31;16;0;16;10;4;2;0;TCHTA
77;École doctorale Informatique, automatique, électronique, électrotechnique, mathématiques;IAEM;8;Sciences pour l'ingénieur;2023;2022-23;2022;2022;8;1;7;29;6;23;9;1;8;4;5;0;0;TCHTA
79;École doctorale Sciences juridiques, politiques, économiques et de gestion;SJPEG;7;Sciences de la société;2023;2022-23;2022;2022;34;16;18;197;95;102;17;10;7;0;5;6;6;ea4x6
